cds,rtype,school,district,county,enrolled,testtakers,reading_avg,english_avg,math_avg,science_avg,graduate_number_21,graduate_percentage_21
33669930129882.0,S,21st Century Learning Institute,Beaumont Unified,Riverside,18,0,,,,,,
19642121995596.0,S,ABC Secondary (Alternative),ABC Unified,Los Angeles,58,0,,,,,,
15637761530377.0,S,Abraham Lincoln Alternative,Southern Kern Unified,Kern,18,0,,,,,,
43696664333795.0,S,Abraham Lincoln High,San Jose Unified,Santa Clara,463,53,23.0,22.0,22.0,23.0,34.0,64.15
19647331935121.0,S,Abraham Lincoln Senior High,Los Angeles Unified,Los Angeles,226,19,21.0,20.0,23.0,22.0,11.0,57.89
19769680109926.0,S,Academia Avance Charter,SBE - Academia Avance Charter,Los Angeles,65,33,15.0,15.0,17.0,16.0,3.0,9.09
19647330126615.0,S,Academies of Education and Empowerment at Carson High,Los Angeles Unified,Los Angeles,126,16,18.0,18.0,18.0,17.0,5.0,31.25
19642460126003.0,S,Academies of the Antelope Valley,Antelope Valley Union High,Los Angeles,14,1,,,,,,
38684780119958.0,S,Academy (The)- SF @McAteer,San Francisco Unified,San Francisco,84,9,,,,,,
36750773631207.0,S,Academy for Academic Excellence,Apple Valley Unified,San Bernardino,97,13,,,,,,
19647330126573.0,S,Academy for Multilingual Arts and Science at Mervyn M. Dymally High,Los Angeles Unified,Los Angeles,141,10,,,,,,
36677360116723.0,S,Academy of Careers and Exploration,Helendale Elementary,San Bernardino,63,5,,,,,,
19647330126623.0,S,Academy of Medical Arts at Carson High,Los Angeles Unified,Los Angeles,126,14,,,,,,
19651361996321.0,S,Academy of the Canyons,William S. Hart Union High,Los Angeles,104,36,29.0,29.0,25.0,25.0,34.0,94.44
12628100108688.0,S,Academy of the Redwoods,Fortuna Union High,Humboldt,47,6,,,,,,
7616300107524.0,S,Acalanes Center for Independent Study,Acalanes Union High,Contra Costa,19,2,,,,,,
7616300730283.0,S,Acalanes High,Acalanes Union High,Contra Costa,353,99,29.0,29.0,28.0,27.0,93.0,93.94
54722490133793.0,S,Accelerated Charter High,Tulare Joint Union High,Tulare,78,0,,,,,,
43694270125617.0,S,ACE Charter High,East Side Union High,Santa Clara,41,34,14.0,14.0,15.0,15.0,1.0,2.94
36679340125419.0,S,Adelanto High,Victor Valley Union High,San Bernardino,430,28,19.0,17.0,18.0,18.0,8.0,28.57
56725465631619.0,S,Adolfo Camarillo High,Oxnard Union High,Ventura,507,91,23.0,23.0,23.0,22.0,55.0,60.44
43696744338802.0,S,Adrian Wilcox High,Santa Clara Unified,Santa Clara,458,138,25.0,24.0,24.0,24.0,93.0,67.39
19646831930080.0,S,Agoura High,Las Virgenes Unified,Los Angeles,459,140,27.0,26.0,25.0,24.0,114.0,81.43
19647330118588.0,S,Alain Leroy Locke College Preparatory Academy,Los Angeles Unified,Los Angeles,382,112,14.0,14.0,16.0,15.0,7.0,6.25
1611190130609.0,S,Alameda Community Learning Center,Alameda Unified,Alameda,31,5,,,,,,
1611190130229.0,S,Alameda High,Alameda Unified,Alameda,463,93,28.0,27.0,27.0,26.0,85.0,91.4
1611190106401.0,S,Alameda Science and Technology Institute,Alameda Unified,Alameda,43,12,,,,,,
1611270130450.0,S,Albany High,Albany City Unified,Alameda,296,58,28.0,27.0,27.0,26.0,51.0,87.93
12630320111203.0,S,Alder Grove Charter School 2,South Bay Union Elementary,Humboldt,51,0,,,,,,
19647331933852.0,S,Alexander Hamilton Senior High,Los Angeles Unified,Los Angeles,585,139,23.0,23.0,21.0,21.0,75.0,53.96
19757131930163.0,S,Alhambra High,Alhambra Unified,Los Angeles,648,93,24.0,25.0,24.0,23.0,69.0,74.19
7617390730549.0,S,Alhambra Senior High,Martinez Unified,Contra Costa,284,40,25.0,23.0,25.0,23.0,30.0,75.0
27661592730109.0,S,Alisal High,Salinas Union High,Monterey,651,206,18.0,17.0,18.0,18.0,47.0,22.82
30664643030574.0,S,Aliso Niguel High,Capistrano Unified,Orange,749,286,26.0,27.0,27.0,26.0,254.0,88.81
19647330127217.0,S,Alliance Alice M. Baxter College-Ready High,Los Angeles Unified,Los Angeles,61,77,17.0,16.0,17.0,18.0,12.0,15.58
19647330121285.0,S,Alliance Cindy and Bill Simon Technology Academy High,Los Angeles Unified,Los Angeles,123,155,15.0,14.0,16.0,16.0,13.0,8.39
19647330108936.0,S,Alliance Collins Family College-Ready High,Los Angeles Unified,Los Angeles,141,70,18.0,20.0,19.0,18.0,19.0,27.14
19647330111500.0,S,Alliance Dr. Olga Mohan High,Los Angeles Unified,Los Angeles,101,80,16.0,16.0,18.0,17.0,14.0,17.5
19647330106864.0,S,Alliance Gertz-Ressler Richard Merkin 6-12 Complex,Los Angeles Unified,Los Angeles,123,8,,,,,,
19647330108894.0,S,Alliance Judy Ivie Burton Technology Academy High,Los Angeles Unified,Los Angeles,138,162,16.0,16.0,17.0,17.0,24.0,14.81
19647330117606.0,S,Alliance Leichtman-Levine Family Foundation Environmental Science High,Los Angeles Unified,Los Angeles,128,155,18.0,18.0,18.0,18.0,40.0,25.81
19647330111658.0,S,Alliance Marc & Eva Stern Math and Science,Los Angeles Unified,Los Angeles,141,157,19.0,18.0,19.0,19.0,48.0,30.57
19647330124941.0,S,Alliance Margaret M. Bloomfield Technology Academy High,Los Angeles Unified,Los Angeles,114,139,17.0,16.0,16.0,16.0,19.0,13.67
19647330116509.0,S,Alliance Morgan McKinzie High,Los Angeles Unified,Los Angeles,73,86,15.0,13.0,16.0,16.0,7.0,8.14
19647330111641.0,S,Alliance Ouchi-O'Donovan 6-12 Complex,Los Angeles Unified,Los Angeles,130,148,15.0,14.0,16.0,16.0,16.0,10.81
19647330111492.0,S,Alliance Patti And Peter Neuwirth Leadership Academy,Los Angeles Unified,Los Angeles,131,164,16.0,14.0,17.0,16.0,18.0,10.98
19647330117598.0,S,Alliance Piera Barbaglia Shaheen Health Services Academy,Los Angeles Unified,Los Angeles,105,143,15.0,13.0,15.0,15.0,4.0,2.8
19647330124891.0,S,Alliance Renee and Meyer Luskin Academy High,Los Angeles Unified,Los Angeles,131,147,16.0,14.0,16.0,16.0,12.0,8.16
