cds,rtype,school,district,county,enrolled,testtakers,erw_number_bm,erw_percent_bm,math_number_bm,math_percent_bm,total_number_bm,total_percent_bm
6615980630046,S,Colusa Alternative Home,Colusa Unified,Colusa,18,0,,,,,,
6616060634758,S,Maxwell Sr High,Maxwell Unified,Colusa,29,10,,,,,,
19647331930924,S,Belmont Senior High,Los Angeles Unified,Los Angeles,206,102,31.0,30.39,14.0,13.73,14.0,13.73
19647331931476,S,Canoga Park Senior High,Los Angeles Unified,Los Angeles,227,113,54.0,47.79,18.0,15.93,18.0,15.93
19647331931856,S,Whitman Continuation,Los Angeles Unified,Los Angeles,18,14,,,,,,
19647336061451,S,Foshay Learning Center,Los Angeles Unified,Los Angeles,166,106,68.0,64.15,36.0,33.96,36.0,33.96
30736353034956,S,Mission Viejo High,Saddleback Valley Unified,Orange,562,190,161.0,84.74,138.0,72.63,132.0,69.47
33672153336955,S,Abraham Lincoln Continuation,Riverside Unified,Riverside,114,17,3.0,17.65,2.0,11.76,2.0,11.76
13631071332501,S,Calipatria High,Calipatria Unified,Imperial,91,27,14.0,51.85,6.0,22.22,5.0,18.52
19647330119685,S,New Open World Academy K-12,Los Angeles Unified,Los Angeles,85,68,17.0,25.0,6.0,8.82,6.0,8.82
33670333331600,S,Corona High,Corona-Norco Unified,Riverside,581,204,148.0,72.55,88.0,43.14,82.0,40.2
36678270111807,S,Mojave River Academy,Oro Grande,San Bernardino,7,1,,,,,,
15637761530377,S,Abraham Lincoln Alternative,Southern Kern Unified,Kern,18,0,,,,,,
19646341996586,S,Animo Inglewood Charter High,Inglewood Unified,Los Angeles,145,68,45.0,66.18,30.0,44.12,29.0,42.65
19647331930387,S,Central High,Los Angeles Unified,Los Angeles,104,4,,,,,,
33671813335759,S,Palo Verde High,Palo Verde Unified,Riverside,174,38,27.0,71.05,13.0,34.21,12.0,31.58
36750513630563,S,Lucerne Valley High,Lucerne Valley Unified,San Bernardino,36,7,,,,,,
36750773630423,S,Apple Valley High,Apple Valley Unified,San Bernardino,551,186,150.0,80.65,70.0,37.63,67.0,36.02
37683386061964,S,The O'Farrell Charter,San Diego Unified,San Diego,125,64,44.0,68.75,33.0,51.56,28.0,43.75
10621171030469,S,Enterprise Alternative,Clovis Unified,Fresno,18,0,,,,,,
10621171030683,S,Clovis East High,Clovis Unified,Fresno,584,237,161.0,67.93,103.0,43.46,94.0,39.66
33670900127720,S,Rivercrest Preparatory,Jurupa Unified,Riverside,31,1,,,,,,
39686760108159,S,Cesar Chavez High,Stockton Unified,San Joaquin,521,192,96.0,50.0,50.0,26.04,39.0,20.31
19647331938885,S,University High School Charter,Los Angeles Unified,Los Angeles,336,193,121.0,62.69,82.0,42.49,76.0,39.38
19647331996115,S,City of Angels,Los Angeles Unified,Los Angeles,292,23,14.0,60.87,7.0,30.43,7.0,30.43
19756636120158,S,New West Charter,SBE - New West Charter,Los Angeles,90,47,43.0,91.49,33.0,70.21,32.0,68.09
19757131934553,S,Mark Keppel High,Alhambra Unified,Los Angeles,579,269,241.0,89.59,230.0,85.5,215.0,79.93
29663572935500,S,Nevada Union High,Nevada Joint Union High,Nevada,353,89,78.0,87.64,64.0,71.91,62.0,69.66
30736503035102,S,University High,Irvine Unified,Orange,633,205,189.0,92.2,185.0,90.24,179.0,87.32
41689244137790,S,Westmoor High,Jefferson Union High,San Mateo,395,344,213.0,61.92,169.0,49.13,153.0,44.48
7617960735316,S,Pinole Valley High,West Contra Costa Unified,Contra Costa,266,249,117.0,46.99,60.0,24.1,58.0,23.29
12630401237007,S,South Fork Junior - Senior High,Southern Humboldt Joint Unified,Humboldt,50,13,,,,,,
19642460100081,S,William J. (Pete) Knight High,Antelope Valley Union High,Los Angeles,668,166,112.0,67.47,50.0,30.12,46.0,27.71
19642461930213,S,Antelope Valley High,Antelope Valley Union High,Los Angeles,454,83,37.0,44.58,9.0,10.84,8.0,9.64
19648731936749,S,Paramount High,Paramount Unified,Los Angeles,1135,932,352.0,37.77,185.0,19.85,158.0,16.95
31750850128561,S,Rocklin Independent Charter Academy,Rocklin Unified,Placer,42,2,,,,,,
37681630137109,S,Diego Valley East Public Charter,Julian Union Elementary,San Diego,78,0,,,,,,
41690474134557,S,Mills High,San Mateo Union High,San Mateo,299,147,137.0,93.2,132.0,89.8,126.0,85.71
41690704137279,S,South San Francisco High,South San Francisco Unified,San Mateo,292,86,71.0,82.56,53.0,61.63,51.0,59.3
1612000133397,S,Granada High,Livermore Valley Joint Unified,Alameda,567,178,157.0,88.2,143.0,80.34,132.0,74.16
11626461136209,S,Princeton Junior-Senior High,Princeton Joint Unified,Glenn,15,3,,,,,,
19101990115212,S,Magnolia Science Academy 2,Los Angeles County Office of Education,Los Angeles,41,17,10.0,58.82,6.0,35.29,6.0,35.29
19101990121954,S,Road to Success Academy at Campus Kilpatrick,Los Angeles County Office of Education,Los Angeles,20,1,,,,,,
34673143430352,S,Las Flores High (Alternative),Elk Grove Unified,Sacramento,64,0,,,,,,
38684783833407,S,Lowell High,San Francisco Unified,San Francisco,678,423,415.0,98.11,386.0,91.25,385.0,91.02
1612590115386,S,Civicorps Corpsmember Academy,Oakland Unified,Alameda,60,0,,,,,,
1612590130146,S,Rudsdale Continuation,Oakland Unified,Alameda,139,1,,,,,,
21654822133692,S,Tamalpais High,Tamalpais Union High,Marin,376,149,138.0,92.62,121.0,81.21,119.0,79.87
33103300110833,S,River Springs Charter,Riverside County Office of Education,Riverside,213,33,30.0,90.91,22.0,66.67,22.0,66.67
34674210132019,S,Paseo Grande Charter,Robla Elementary,Sacramento,15,1,,,,,,
37683380107052,S,San Diego Business/Leadership,San Diego Unified,San Diego,100,18,8.0,44.44,2.0,11.11,1.0,5.56
37683380107078,S,Kearny Digital Media & Design,San Diego Unified,San Diego,86,25,20.0,80.0,11.0,44.0,11.0,44.0
39103973930476,S,Venture Academy,San Joaquin County Office of Education,San Joaquin,266,77,47.0,61.04,18.0,23.38,18.0,23.38
